source,routeId,originHarbourId,destinationHarbourId,origin,destination,destinationProvince,shipClass,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status,statusCode,message,sourceFile
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Kendaraan,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,11:06:00-11:06:00,,303,749128,749128,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc2,3,2,Bakauheni,Merak,,SC2,Pejalan Kaki,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,12:00:00-13:00:00,,220,182400,182400,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Pejalan Kaki,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,12:00:00-13:00:00,,220,420400,420400,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Pejalan Kaki,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,12:00:00-13:00:00,,220,309500,309500,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Pejalan Kaki,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,12:00:00-13:00:00,,220,637800,637800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Pejalan Kaki,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,12:00:00-13:00:00,,220,511100,511100,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Pejalan Kaki,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-4-5-sc1,4,5,Gilimanuk,Ketapang,,SC1,Kendaraan,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,12:00:00-13:00:00,,220,630300,630300,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
