route,ship_class,service,vehicle_class,vehicle_class_name,depart_date,depart_time,available_quota,sample_total,currency,status,fare_count,sample_quota
4 → 5,SC1,PejalanKaki,VC17,GOLONGAN IX,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,Kendaraan,VC4,GOLONGAN I,2026-08-20,11:00:00-12:00:00,422,11000,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC7,GOLONGAN II,2026-08-20,11:00:00-12:00:00,422,31600,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC8,GOLONGAN III,2026-08-20,11:00:00-12:00:00,422,45000,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC9,GOLONGAN IVA,2026-08-20,11:00:00-12:00:00,422,213400,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,422,182400,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC11,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,422,420400,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC12,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,422,309500,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,422,637800,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,422,511100,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC15,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,422,630300,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,422,888300,IDR,OK,1,422
5 → 4,SC1,Kendaraan,VC17,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,422,1229600,IDR,OK,1,422
5 → 4,SC1,PejalanKaki,VC4,GOLONGAN I,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC7,GOLONGAN II,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC8,GOLONGAN III,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC9,GOLONGAN IVA,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC10,GOLONGAN IVB,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC11,GOLONGAN VA,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC12,GOLONGAN VB,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC13,GOLONGAN VIA,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC14,GOLONGAN VIB,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC15,GOLONGAN VII,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC16,GOLONGAN VIII,2026-08-20,,,,IDR,empty,0,
5 → 4,SC1,PejalanKaki,VC17,GOLONGAN IX,2026-08-20,,,,IDR,empty,0,
